,tag,stmt,31_03_2010,30_06_2010,30_09_2010,31_12_2010,31_03_2011,30_06_2011,30_09_2011,31_12_2011,31_03_2012,30_06_2012,30_09_2012,31_12_2012,31_03_2013,30_06_2013,30_09_2013,31_12_2013,31_03_2014,30_06_2014,30_09_2014,31_12_2014,31_03_2015,30_06_2015,30_09_2015,31_12_2015,31_03_2016,30_06_2016,30_09_2016,31_12_2016,31_03_2017,30_06_2017,30_09_2017,31_12_2017,31_03_2018,30_06_2018,30_09_2018,31_12_2018,31_03_2019,30_06_2019,30_09_2019,31_12_2019,31_03_2020,30_06_2020,30_09_2020,31_12_2020,31_03_2021,30_06_2021,30_09_2021,31_12_2021,31_03_2022,30_06_2022,30_09_2022,31_12_2022,31_03_2023,30_06_2023,30_09_2023,31_12_2023
0,EntityCommonStockSharesOutstanding,CP,909938383.0,913562880.0,917307099.0,921278012.0,924754561.0,927090886.0,929409000.0,932370000.0,935062000.0,937406000.0,,939058000.0,938649000.0,908497000.0,,891989000.0,861381000.0,5987867000.0,5864840000.0,5824748000.0,5761030000.0,5702722000.0,5575331000.0,5544583000.0,5477425000.0,5388443000.0,5332313000.0,,,,,,,,,,,,,,,,,16788096000.0,,,16406397000.0,16319441000.0,16185181000.0,16070752000.0,15908118000.0,,,,,
1,ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,CF,413000000.0,652000000.0,751000000.0,454000000.0,740000000.0,915000000.0,1133000000.0,333000000.0,636000000.0,1036000000.0,1351000000.0,404000000.0,502000000.0,644000000.0,701000000.0,280000000.0,363000000.0,562000000.0,739000000.0,264000000.0,357000000.0,684000000.0,749000000.0,224000000.0,264000000.0,391000000.0,407000000.0,178000000.0,225000000.0,534000000.0,627000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,IncreaseDecreaseInInventories,CF,183000000.0,487000000.0,596000000.0,-166000000.0,-121000000.0,-162000000.0,-275000000.0,460000000.0,326000000.0,346000000.0,15000000.0,664000000.0,454000000.0,906000000.0,973000000.0,358000000.0,65000000.0,-170000000.0,76000000.0,172000000.0,285000000.0,-69000000.0,238000000.0,102000000.0,-68000000.0,-518000000.0,-217000000.0,580000000.0,778000000.0,1014000000.0,2723000000.0,-434000000.0,2807000000.0,1114000000.0,-828000000.0,1076000000.0,1006000000.0,-496000000.0,289000000.0,28000000.0,-699000000.0,-10000000.0,127000000.0,950000000.0,1226000000.0,1213000000.0,2642000000.0,-681000000.0,-1065000000.0,-1049000000.0,-1484000000.0,1807000000.0,2548000000.0,2570000000.0,1618000000.0,137000000.0
3,Assets,BS,57057000000.0,64725000000.0,75183000000.0,86742000000.0,94904000000.0,106758000000.0,116371000000.0,138681000000.0,150934000000.0,162896000000.0,176064000000.0,196088000000.0,194743000000.0,199856000000.0,207000000000.0,225184000000.0,205989000000.0,222520000000.0,231839000000.0,261894000000.0,261194000000.0,273151000000.0,290479000000.0,293284000000.0,305277000000.0,305602000000.0,321686000000.0,331141000000.0,334532000000.0,345173000000.0,375319000000.0,406794000000.0,367502000000.0,349197000000.0,365725000000.0,373719000000.0,341998000000.0,322239000000.0,338516000000.0,340618000000.0,320400000000.0,317344000000.0,323888000000.0,354054000000.0,337158000000.0,329840000000.0,351002000000.0,381191000000.0,350662000000.0,336309000000.0,352755000000.0,346747000000.0,332160000000.0,335038000000.0,352583000000.0,353514000000.0
4,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,CF,13331000000.0,19758000000.0,24930000000.0,3279000000.0,10211000000.0,16396000000.0,20437000000.0,3038000000.0,7702000000.0,10344000000.0,13035000000.0,3460000000.0,9243000000.0,13963000000.0,20317000000.0,5556000000.0,10869000000.0,15111000000.0,18810000000.0,2807000000.0,5871000000.0,9916000000.0,14538000000.0,3514000000.0,9148000000.0,14915000000.0,21258000000.0,6525000000.0,12429000000.0,19347000000.0,31775000000.0,14048000000.0,31884000000.0,46290000000.0,55881000000.0,7203000000.0,16880000000.0,26783000000.0,40102000000.0,19740000000.0,39738000000.0,54865000000.0,69918000000.0,25177000000.0,39605000000.0,49880000000.0,59023000000.0,11309000000.0,18000000000.0,24203000000.0,29917000000.0,7127000000.0,17124000000.0,27857000000.0,39686000000.0,13046000000.0
5,IncreaseDecreaseInAccountsReceivable,CF,-482000000.0,79000000.0,2142000000.0,517000000.0,288000000.0,592000000.0,-143000000.0,3561000000.0,1663000000.0,2278000000.0,5551000000.0,668000000.0,-3846000000.0,-2091000000.0,2172000000.0,1098000000.0,-3401000000.0,-2314000000.0,4232000000.0,-751000000.0,-6555000000.0,-7090000000.0,-611000000.0,-3896000000.0,-4620000000.0,-5135000000.0,-1095000000.0,-1697000000.0,-4183000000.0,-3381000000.0,2093000000.0,5570000000.0,-3523000000.0,-3756000000.0,5322000000.0,-5130000000.0,-8094000000.0,-9013000000.0,-245000000.0,-2015000000.0,-7284000000.0,-5149000000.0,-6917000000.0,10945000000.0,2347000000.0,1316000000.0,10125000000.0,3934000000.0,-5542000000.0,-4561000000.0,1823000000.0,-4275000000.0,-9596000000.0,-7609000000.0,1688000000.0,-6555000000.0
6,CashAndCashEquivalentsAtCarryingValue,CF,10018000000.0,9705000000.0,11261000000.0,10734000000.0,15978000000.0,12091000000.0,9815000000.0,10310000000.0,10121000000.0,7945000000.0,10746000000.0,16154000000.0,12053000000.0,11248000000.0,14259000000.0,14077000000.0,18949000000.0,12977000000.0,13844000000.0,19478000000.0,14489000000.0,15319000000.0,21120000000.0,16689000000.0,21514000000.0,18237000000.0,20484000000.0,16371000000.0,15157000000.0,18571000000.0,20289000000.0,27491000000.0,45059000000.0,31971000000.0,25913000000.0,44771000000.0,,,,,,,,,,,,,,,,,,,,
7,ShareBasedCompensation,CF,436000000.0,219000000.0,879000000.0,299000000.0,287000000.0,284000000.0,1168000000.0,420000000.0,424000000.0,448000000.0,1740000000.0,545000000.0,575000000.0,578000000.0,2253000000.0,681000000.0,696000000.0,2101000000.0,2863000000.0,888000000.0,1815000000.0,2671000000.0,3586000000.0,1078000000.0,2126000000.0,3180000000.0,4210000000.0,1256000000.0,2473000000.0,3666000000.0,4840000000.0,1296000000.0,2644000000.0,3995000000.0,5340000000.0,1559000000.0,3073000000.0,4569000000.0,6068000000.0,1710000000.0,3407000000.0,5105000000.0,6829000000.0,2020000000.0,4001000000.0,5961000000.0,7906000000.0,2265000000.0,4517000000.0,6760000000.0,9038000000.0,2905000000.0,5591000000.0,8208000000.0,10833000000.0,2997000000.0
8,OperatingExpenses,IS,1646000000.0,1902000000.0,7299000000.0,2471000000.0,2344000000.0,2543000000.0,10028000000.0,3363000000.0,3180000000.0,3421000000.0,13421000000.0,3850000000.0,3791000000.0,3823000000.0,15305000000.0,4383000000.0,4354000000.0,4453000000.0,18034000000.0,5495000000.0,5378000000.0,5598000000.0,22396000000.0,6252000000.0,5934000000.0,6001000000.0,24239000000.0,6817000000.0,6494000000.0,6720000000.0,26842000000.0,7638000000.0,7528000000.0,7809000000.0,30941000000.0,8685000000.0,8406000000.0,8683000000.0,34462000000.0,9648000000.0,9517000000.0,9589000000.0,38668000000.0,10794000000.0,10576000000.0,11129000000.0,43887000000.0,12755000000.0,12580000000.0,12809000000.0,51345000000.0,14316000000.0,13658000000.0,13415000000.0,54847000000.0,14482000000.0
9,IncreaseDecreaseInOtherOperatingLiabilities,CF,-287000000.0,-239000000.0,778000000.0,653000000.0,1674000000.0,2608000000.0,4495000000.0,2472000000.0,778000000.0,1686000000.0,2552000000.0,2373000000.0,3658000000.0,3556000000.0,4521000000.0,1195000000.0,1638000000.0,424000000.0,6010000000.0,4667000000.0,5679000000.0,4448000000.0,8746000000.0,-368000000.0,-2093000000.0,-5495000000.0,-2104000000.0,1946000000.0,316000000.0,-2476000000.0,-154000000.0,37549000000.0,39158000000.0,37009000000.0,38490000000.0,570000000.0,-3273000000.0,-8753000000.0,-4700000000.0,5514000000.0,7500000000.0,3867000000.0,8916000000.0,7959000000.0,3045000000.0,463000000.0,5799000000.0,4236000000.0,1888000000.0,-14000000.0,5632000000.0,3758000000.0,1757000000.0,2986000000.0,3031000000.0,-3865000000.0
10,CommonStockSharesAuthorized,BS,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,50400000000.0,50400000000.0,50400000000.0,50400000000.0,50400000000.0,50400000000.0,50400000000.0,50400000000.0,50400000000.0,50400000000.0,50400000000.0,50400000000.0,50400000000.0,50400000000.0
11,PaymentsToAcquireOtherInvestments,CF,9000000.0,10000000.0,18000000.0,,,,,,,,,,,,,,,,,,,,,,,1376000000.0,1388000000.0,0.0,0.0,87000000.0,395000000.0,94000000.0,,1788000000.0,1871000000.0,427000000.0,490000000.0,632000000.0,1001000000.0,77000000.0,146000000.0,210000000.0,210000000.0,,,,131000000.0,,,,,,,,,
