,tag,stmt,31_03_2010,30_06_2010,30_09_2010,31_12_2010,31_03_2011,30_06_2011,30_09_2011,31_12_2011,31_03_2012,30_06_2012,30_09_2012,31_12_2012,31_03_2013,30_06_2013,30_09_2013,31_12_2013,31_03_2014,30_06_2014,30_09_2014,31_12_2014,31_03_2015,30_06_2015,30_09_2015,31_12_2015,31_03_2016,30_06_2016,30_09_2016,31_12_2016,31_03_2017,30_06_2017,30_09_2017,31_12_2017,31_03_2018,30_06_2018,30_09_2018,31_12_2018,31_03_2019,30_06_2019,30_09_2019,31_12_2019,31_03_2020,30_06_2020,30_09_2020,31_12_2020,31_03_2021,30_06_2021,30_09_2021,31_12_2021,31_03_2022,30_06_2022,30_09_2022,31_12_2022,31_03_2023,30_06_2023,30_09_2023,31_12_2023
0,SalesRevenueGoodsNet,IS,15631000000.0,15330000000.0,14982000000.0,15644000000.0,,,,16255000000.0,16139000000.0,16475000000.0,17052000000.0,17558000000.0,17505000000.0,17877000000.0,17575000000.0,18355000000.0,18115000000.0,19495000000.0,18467000000.0,18254000000.0,17374000000.0,17787000000.0,17102000000.0,17811000000.0,17482000000.0,18482000000.0,17820000000.0,18106000000.0,17766000000.0,18839000000.0,19650000000.0,20195000000.0,20009000000.0,20830000000.0,,,,,,,,,,,,,,,,,,,,,,
1,InterestExpensePercentageIncreaseDecrease,UN,0.007,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,IncreaseDecreaseInInventories,CF,-193000000.0,88000000.0,197000000.0,196000000.0,452000000.0,620000000.0,787000000.0,715000000.0,449000000.0,618000000.0,593000000.0,1000000.0,288000000.0,547000000.0,799000000.0,622000000.0,512000000.0,605000000.0,1098000000.0,1120000000.0,276000000.0,537000000.0,719000000.0,449000000.0,190000000.0,443000000.0,408000000.0,249000000.0,368000000.0,421000000.0,193000000.0,-581000000.0,322000000.0,491000000.0,777000000.0,644000000.0,369000000.0,423000000.0,424000000.0,277000000.0,159000000.0,637000000.0,784000000.0,265000000.0,695000000.0,818000000.0,1178000000.0,1248000000.0,600000000.0,1257000000.0,1877000000.0,2527000000.0,524000000.0,741000000.0,1447000000.0,1323000000.0
3,ProceedsFromShortTermDebt,CF,715000000.0,956000000.0,1896000000.0,7874000000.0,3644000000.0,3586000000.0,7216000000.0,9729000000.0,1547000000.0,2518000000.0,3606000000.0,3268000000.0,475000000.0,1682000000.0,1770000000.0,1411000000.0,278000000.0,1668000000.0,629000000.0,1863000000.0,589000000.0,1024000000.0,2107000000.0,2416000000.0,95000000.0,118000000.0,149000000.0,111000000.0,719000000.0,2635000000.0,4760000000.0,869000000.0,26000000.0,27000000.0,40000000.0,80000000.0,13000000.0,15000000.0,148000000.0,39000000.0,10000000.0,2717000000.0,3335000000.0,3391000000.0,23000000.0,498000000.0,1283000000.0,1997000000.0,3019000000.0,4371000000.0,7099000000.0,16134000000.0,11094000000.0,12221000000.0,12462000000.0,13743000000.0
4,Assets,BS,93441000000.0,92300000000.0,98247000000.0,102908000000.0,108150000000.0,112114000000.0,111821000000.0,113644000000.0,116194000000.0,115750000000.0,118951000000.0,121347000000.0,121536000000.0,124325000000.0,126933000000.0,132683000000.0,133330000000.0,135200000000.0,132097000000.0,131119000000.0,128590000000.0,132036000000.0,133266000000.0,133411000000.0,136231000000.0,139814000000.0,140369000000.0,141208000000.0,144918000000.0,152807000000.0,155658000000.0,157303000000.0,156625000000.0,155365000000.0,155703000000.0,152954000000.0,150027000000.0,155117000000.0,155521000000.0,157728000000.0,155017000000.0,158380000000.0,170693000000.0,174894000000.0,172557000000.0,176440000000.0,179228000000.0,182018000000.0,178355000000.0,177724000000.0,175124000000.0,187378000000.0,195969000000.0,191686000000.0,166061000000.0,167558000000.0
5,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,BS,14686000000.0,14618000000.0,15567000000.0,,16721000000.0,17461000000.0,17101000000.0,,17726000000.0,17675000000.0,18237000000.0,,18974000000.0,19607000000.0,20305000000.0,,20252000000.0,20792000000.0,20644000000.0,,20039000000.0,20529000000.0,20846000000.0,,21466000000.0,21807000000.0,22278000000.0,,22505000000.0,23617000000.0,24300000000.0,,24956000000.0,24661000000.0,24891000000.0,,25262000000.0,25657000000.0,25577000000.0,,25846000000.0,26458000000.0,27307000000.0,,28063000000.0,28569000000.0,28869000000.0,,29001000000.0,28790000000.0,28529000000.0,,30193000000.0,30642000000.0,26805000000.0,
6,OtherNonOperatingIncomeExpensePercentageIncreaseDecrease,UN,-0.102,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,TreasuryStockValue,BS,19553000000.0,19816000000.0,20177000000.0,20783000000.0,20752000000.0,20632000000.0,21159000000.0,21659000000.0,20317000000.0,20012000000.0,19314000000.0,18476000000.0,16818000000.0,16094000000.0,15673000000.0,15700000000.0,15280000000.0,15810000000.0,17707000000.0,19891000000.0,20598000000.0,21287000000.0,21453000000.0,22684000000.0,23072000000.0,24678000000.0,26496000000.0,28352000000.0,29900000000.0,31172000000.0,31199000000.0,31554000000.0,31596000000.0,31577000000.0,31464000000.0,34362000000.0,35298000000.0,37175000000.0,38619000000.0,38417000000.0,38484000000.0,38507000000.0,38540000000.0,38490000000.0,38466000000.0,38594000000.0,38525000000.0,39099000000.0,39034000000.0,39136000000.0,41146000000.0,41694000000.0,,,,75662000000.0
8,IncreaseDecreaseInAccountsReceivable,CF,-529000000.0,555000000.0,585000000.0,207000000.0,609000000.0,576000000.0,489000000.0,915000000.0,215000000.0,-155000000.0,-94000000.0,9000000.0,434000000.0,647000000.0,971000000.0,632000000.0,426000000.0,584000000.0,399000000.0,247000000.0,765000000.0,1186000000.0,910000000.0,433000000.0,389000000.0,1098000000.0,736000000.0,1065000000.0,96000000.0,476000000.0,300000000.0,633000000.0,479000000.0,989000000.0,1040000000.0,1185000000.0,-157000000.0,336000000.0,665000000.0,289000000.0,812000000.0,520000000.0,440000000.0,-774000000.0,1604000000.0,1566000000.0,1818000000.0,2402000000.0,427000000.0,1386000000.0,1591000000.0,1290000000.0,54000000.0,599000000.0,851000000.0,624000000.0
9,CommonStockDividendsPerShareCashPaid,IS,0.49,0.54,0.54,2.11,,,,2.25,0.57,0.61,0.61,2.4,0.61,0.66,0.66,2.59,0.66,0.7,0.7,2.76,0.7,0.75,0.75,2.95,0.75,0.8,0.8,3.15,0.8,0.84,0.84,3.32,0.84,0.9,0.9,,,,,,,,,,,,,,,,,,,,,
