,tag,stmt,31_03_2010,30_06_2010,30_09_2010,31_12_2010,31_03_2011,30_06_2011,30_09_2011,31_12_2011,31_03_2012,30_06_2012,30_09_2012,31_12_2012,31_03_2013,30_06_2013,30_09_2013,31_12_2013,31_03_2014,30_06_2014,30_09_2014,31_12_2014,31_03_2015,30_06_2015,30_09_2015,31_12_2015,31_03_2016,30_06_2016,30_09_2016,31_12_2016,31_03_2017,30_06_2017,30_09_2017,31_12_2017,31_03_2018,30_06_2018,30_09_2018,31_12_2018,31_03_2019,30_06_2019,30_09_2019,31_12_2019,31_03_2020,30_06_2020,30_09_2020,31_12_2020,31_03_2021,30_06_2021,30_09_2021,31_12_2021,31_03_2022,30_06_2022,30_09_2022,31_12_2022,31_03_2023,30_06_2023,30_09_2023,31_12_2023
0,FederalFundsSoldAndSecuritiesPurchasedUnderAgreementsToResell,BS,230123000000.0,199024000000.0,235390000000.0,222554000000.0,217356000000.0,213362000000.0,248042000000.0,235314000000.0,240484000000.0,255188000000.0,281991000000.0,296296000000.0,218343000000.0,252507000000.0,235916000000.0,248116000000.0,265168000000.0,248149000000.0,214336000000.0,215803000000.0,219344000000.0,212850000000.0,218467000000.0,212575000000.0,223220000000.0,237267000000.0,232637000000.0,229967000000.0,190566000000.0,218570000000.0,185454000000.0,198422000000.0,247608000000.0,226505000000.0,217632000000.0,321588000000.0,299140000000.0,267864000000.0,257391000000.0,249157000000.0,248580000000.0,256980000000.0,319849000000.0,296284000000.0,272481000000.0,260987000000.0,282161000000.0,261698000000.0,301875000000.0,322156000000.0,301878000000.0,315592000000.0,317111000000.0,325628000000.0,350059000000.0,276152000000.0
1,ProvisionForLoanLeaseAndOtherLosses,IS,7010000000.0,3363000000.0,3223000000.0,16639000000.0,1169000000.0,,,,,,1789000000.0,3385000000.0,617000000.0,47000000.0,-543000000.0,225000000.0,850000000.0,692000000.0,757000000.0,3139000000.0,959000000.0,935000000.0,682000000.0,3827000000.0,1824000000.0,1402000000.0,1271000000.0,5361000000.0,1315000000.0,1215000000.0,1452000000.0,5290000000.0,1165000000.0,1210000000.0,948000000.0,4871000000.0,1495000000.0,1149000000.0,1514000000.0,5585000000.0,8285000000.0,10473000000.0,611000000.0,17480000000.0,-4156000000.0,-2285000000.0,-1527000000.0,-9256000000.0,1463000000.0,1101000000.0,1537000000.0,6389000000.0,2275000000.0,2899000000.0,1384000000.0,9320000000.0
2,Assets,BS,2135796000000.0,124359000000.0,112887000000.0,108918000000.0,97852000000.0,90186000000.0,91923000000.0,101471000000.0,98084000000.0,95619000000.0,92139000000.0,96779000000.0,87554000000.0,83798000000.0,78881000000.0,78606000000.0,72121000000.0,72652000000.0,79189000000.0,79785000000.0,77237000000.0,74558000000.0,75465000000.0,81605000000.0,75037000000.0,76695000000.0,82939000000.0,82120000000.0,78011000000.0,76519000000.0,2563074000000.0,2533600000000.0,2609785000000.0,2590050000000.0,2615183000000.0,2622532000000.0,2737188000000.0,2727379000000.0,2764661000000.0,2687379000000.0,3139431000000.0,3213115000000.0,3246076000000.0,3386071000000.0,3689336000000.0,3684256000000.0,3757576000000.0,3743567000000.0,3954687000000.0,3841314000000.0,3773884000000.0,3665743000000.0,3744305000000.0,3868240000000.0,3898333000000.0,3875393000000.0
3,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,CF,37323000000.0,57012000000.0,71848000000.0,745000000.0,20591000000.0,39902000000.0,58740000000.0,886000000.0,32279000000.0,63411000000.0,84716000000.0,621000000.0,31175000000.0,52646000000.0,69892000000.0,61000000.0,22485000000.0,41248000000.0,67261000000.0,12076000000.0,25221000000.0,43454000000.0,58281000000.0,120000000.0,15845000000.0,33070000000.0,49652000000.0,353000000.0,14522000000.0,29481000000.0,43536000000.0,56117000000.0,10785000000.0,19718000000.0,29618000000.0,37401000000.0,7613000000.0,30547000000.0,41378000000.0,52200000000.0,12420000000.0,27070000000.0,43709000000.0,57675000000.0,14096000000.0,28727000000.0,39346000000.0,50075000000.0,11291000000.0,21913000000.0,30646000000.0,39159000000.0,11018000000.0,23470000000.0,39160000000.0,53744000000.0
4,AccountsPayableAndOtherLiabilitiesAtFairValue,BS,329000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ProceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,CF,10852000000.0,17964000000.0,27033000000.0,21610000000.0,17056000000.0,36855000000.0,45253000000.0,33566000000.0,14527000000.0,27242000000.0,51845000000.0,28172000000.0,36698000000.0,62016000000.0,70305000000.0,31303000000.0,22064000000.0,36469000000.0,54263000000.0,40284000000.0,28395000000.0,54585000000.0,70243000000.0,42121000000.0,15718000000.0,36064000000.0,72021000000.0,41498000000.0,16538000000.0,35530000000.0,46311000000.0,56271000000.0,19916000000.0,41166000000.0,54842000000.0,71662000000.0,15560000000.0,29159000000.0,45155000000.0,61085000000.0,34851000000.0,57744000000.0,64243000000.0,78686000000.0,24162000000.0,55767000000.0,69272000000.0,82409000000.0,20651000000.0,45873000000.0,68944000000.0,78442000000.0,8750000000.0,19357000000.0,42817000000.0,75417000000.0
6,InterestBearingDepositsInBanks,BS,59014000000.0,39430000000.0,31077000000.0,21673000000.0,80842000000.0,169880000000.0,128877000000.0,85279000000.0,115028000000.0,130383000000.0,104344000000.0,121814000000.0,257635000000.0,311318000000.0,371445000000.0,316051000000.0,372531000000.0,393909000000.0,414312000000.0,484477000000.0,506383000000.0,398807000000.0,376196000000.0,340015000000.0,360196000000.0,345595000000.0,396200000000.0,365762000000.0,439911000000.0,427380000000.0,435810000000.0,404294000000.0,389978000000.0,381500000000.0,395872000000.0,256469000000.0,280658000000.0,244874000000.0,235382000000.0,241927000000.0,343533000000.0,473185000000.0,466706000000.0,502735000000.0,685675000000.0,678829000000.0,734012000000.0,714396000000.0,728367000000.0,642045000000.0,619533000000.0,539537000000.0,520902000000.0,469059000000.0,486448000000.0,595085000000.0
7,CommonStockDividendsPerShareCashPaid,IS,0.05,0.05,0.05,0.2,0.25,0.25,0.25,1.0,0.3,0.3,0.3,1.2,0.3,,,1.44,,,,1.58,0.4,0.44,0.44,1.72,0.44,0.48,0.48,1.88,0.5,0.5,0.56,2.12,0.56,0.56,0.8,,,,,,,,,,,,,,,,,,,,,
8,CreditCardIncome,IS,1361000000.0,1495000000.0,1477000000.0,5891000000.0,1437000000.0,1696000000.0,1666000000.0,6158000000.0,1316000000.0,1412000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ShareBasedCompensation,CF,941000000.0,832000000.0,754000000.0,3251000000.0,830000000.0,727000000.0,538000000.0,2675000000.0,832000000.0,609000000.0,582000000.0,2545000000.0,641000000.0,586000000.0,507000000.0,2219000000.0,618000000.0,524000000.0,539000000.0,2190000000.0,565000000.0,510000000.0,464000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PaymentsForProceedsFromLoansAndLeases,CF,-13997000000.0,-13449000000.0,-12513000000.0,-90000000.0,-1731000000.0,14133000000.0,27805000000.0,153000000.0,176000000.0,17192000000.0,16110000000.0,350000000.0,-344000000.0,3785000000.0,11899000000.0,713000000.0,3260000000.0,24730000000.0,30070000000.0,319000000.0,15768000000.0,45505000000.0,75891000000.0,-321000000.0,15925000000.0,43094000000.0,65204000000.0,-1793000000.0,2545000000.0,24266000000.0,39385000000.0,61650000000.0,8226000000.0,33441000000.0,,,,,,,,,,,,,,,,,,,,,,
11,LoansAndLeasesReceivableAllowance,BS,38186000000.0,35836000000.0,34161000000.0,32266000000.0,29750000000.0,28520000000.0,28350000000.0,27609000000.0,25871000000.0,23791000000.0,22824000000.0,21936000000.0,20780000000.0,19384000000.0,17571000000.0,16264000000.0,15847000000.0,15326000000.0,14889000000.0,14185000000.0,14065000000.0,13915000000.0,13466000000.0,13555000000.0,13994000000.0,14227000000.0,14204000000.0,13776000000.0,13413000000.0,13363000000.0,13539000000.0,13604000000.0,13375000000.0,13250000000.0,13128000000.0,13445000000.0,13533000000.0,13166000000.0,13235000000.0,13123000000.0,,,,,,,,,,,,,,,,
12,ProceedsFromSalesSecuritizationsAndPaydownsOfLoansHeldForSale,CF,7806000000.0,18374000000.0,25412000000.0,40155000000.0,21773000000.0,42444000000.0,50719000000.0,54092000000.0,6835000000.0,17026000000.0,21476000000.0,33202000000.0,16963000000.0,46924000000.0,61058000000.0,73566000000.0,16898000000.0,38853000000.0,53250000000.0,71407000000.0,10646000000.0,27797000000.0,39332000000.0,49363000000.0,7818000000.0,22356000000.0,31756000000.0,60196000000.0,21262000000.0,53053000000.0,75255000000.0,93270000000.0,18300000000.0,41657000000.0,68214000000.0,93453000000.0,23528000000.0,44995000000.0,60510000000.0,79182000000.0,18013000000.0,27811000000.0,120786000000.0,175490000000.0,75547000000.0,161030000000.0,244966000000.0,336413000000.0,75558000000.0,116764000000.0,149420000000.0,167709000000.0,20873000000.0,47746000000.0,83169000000.0,116430000000.0
13,ProceedsFromPaymentsForFederalFundsSoldAndSecuritiesPurchasedUnderAgreementsToResellNet,CF,-34703000000.0,-3343000000.0,-39427000000.0,-26957000000.0,5080000000.0,9195000000.0,-25174000000.0,-12490000000.0,-5218000000.0,-19701000000.0,-46432000000.0,-60821000000.0,77882000000.0,43431000000.0,60033000000.0,47726000000.0,-17092000000.0,-1427000000.0,32272000000.0,30848000000.0,-3468000000.0,2927000000.0,-2626000000.0,3190000000.0,-10577000000.0,-24624000000.0,-20048000000.0,-17468000000.0,39380000000.0,11364000000.0,44463000000.0,31448000000.0,-49179000000.0,-28109000000.0,-19259000000.0,-123201000000.0,22459000000.0,53757000000.0,64207000000.0,72396000000.0,1120000000.0,-7580000000.0,-70597000000.0,-47115000000.0,23791000000.0,35283000000.0,14089000000.0,34473000000.0,-40407000000.0,-60833000000.0,-40741000000.0,-54278000000.0,-1317000000.0,-9816000000.0,-34101000000.0,39740000000.0
14,NetIncomeLoss,IS,3326000000.0,4795000000.0,4418000000.0,-2646000000.0,5555000000.0,5431000000.0,4262000000.0,-2829000000.0,5383000000.0,4960000000.0,5708000000.0,-2190000000.0,6529000000.0,6496000000.0,-380000000.0,-7573000000.0,5274000000.0,5985000000.0,5572000000.0,21762000000.0,5914000000.0,6290000000.0,6804000000.0,24442000000.0,5520000000.0,6200000000.0,6286000000.0,24733000000.0,6448000000.0,7029000000.0,6732000000.0,24441000000.0,8712000000.0,8316000000.0,8380000000.0,32474000000.0,9179000000.0,9652000000.0,9080000000.0,36431000000.0,2865000000.0,4687000000.0,9443000000.0,29131000000.0,14300000000.0,11948000000.0,11687000000.0,48334000000.0,8282000000.0,8649000000.0,9737000000.0,37676000000.0,12622000000.0,14472000000.0,13151000000.0,49552000000.0
