,tag,stmt,31_03_2010,30_06_2010,30_09_2010,31_12_2010,31_03_2011,30_06_2011,30_09_2011,31_12_2011,31_03_2012,30_06_2012,30_09_2012,31_12_2012,31_03_2013,30_06_2013,30_09_2013,31_12_2013,31_03_2014,30_06_2014,30_09_2014,31_12_2014,31_03_2015,30_06_2015,30_09_2015,31_12_2015,31_03_2016,30_06_2016,30_09_2016,31_12_2016,31_03_2017,30_06_2017,30_09_2017,31_12_2017,31_03_2018,30_06_2018,30_09_2018,31_12_2018,31_03_2019,30_06_2019,30_09_2019,31_12_2019,31_03_2020,30_06_2020,30_09_2020,31_12_2020,31_03_2021,30_06_2021,30_09_2021,31_12_2021,31_03_2022,30_06_2022,30_09_2022,31_12_2022,31_03_2023,30_06_2023,30_09_2023,31_12_2023
0,EntityCommonStockSharesOutstanding,CP,370997920.0,362498184.0,360128404.0,,347299178.0,335622531.0,323570483.0,,324636773.0,324416270.0,323587437.0,,320405322.0,320936590.0,320307248.0,,317377058.0,317388019.0,315925164.0,,314760542.0,310534530.0,307295494.0,,304453019.0,302905786.0,292977354.0,,289443053.0,287990865.0,286734181.0,,285529483.0,284781066.0,284425688.0,,282538809.0,282397501.0,,,,279542050.0,279783747.0,,,,,,266106974.0,265152217.0,262073963.0,,253252553.0,251831462.0,248098715.0,
1,SalesRevenueGoodsNet,IS,8488000000.0,9189000000.0,8965000000.0,36448000000.0,8504000000.0,9117000000.0,9680000000.0,36925000000.0,9148000000.0,9543000000.0,9495000000.0,37817000000.0,8706000000.0,9005000000.0,8859000000.0,35691000000.0,8410000000.0,8980000000.0,8602000000.0,36093000000.0,7853000000.0,9157000000.0,8810000000.0,35882000000.0,8944000000.0,10045000000.0,10062000000.0,40365000000.0,9513000000.0,10828000000.0,10496000000.0,43875000000.0,9762000000.0,,,,,,,,,,,,,,,,,,,,,,,
2,IncreaseDecreaseInInventories,CF,293000000.0,197000000.0,-60000000.0,227000000.0,-93000000.0,-148000000.0,-575000000.0,74000000.0,-104000000.0,38000000.0,387000000.0,422000000.0,-43000000.0,-43000000.0,-18000000.0,60000000.0,-29000000.0,-307000000.0,-66000000.0,-77000000.0,205000000.0,154000000.0,359000000.0,398000000.0,310000000.0,233000000.0,235000000.0,46000000.0,404000000.0,271000000.0,133000000.0,-183000000.0,318000000.0,160000000.0,172000000.0,119000000.0,288000000.0,602000000.0,477000000.0,622000000.0,-80000000.0,-98000000.0,-326000000.0,-74000000.0,-289000000.0,-426000000.0,-642000000.0,-564000000.0,163000000.0,450000000.0,132000000.0,107000000.0,383000000.0,410000000.0,224000000.0,44000000.0
3,Assets,BS,36287000000.0,36239000000.0,35551000000.0,35067000000.0,36677000000.0,35718000000.0,36187000000.0,37908000000.0,38340000000.0,38386000000.0,39321000000.0,38657000000.0,39580000000.0,38947000000.0,38907000000.0,36188000000.0,36919000000.0,37250000000.0,36933000000.0,37073000000.0,39752000000.0,39848000000.0,39617000000.0,49128000000.0,50158000000.0,50408000000.0,48739000000.0,47806000000.0,48836000000.0,48711000000.0,48946000000.0,46521000000.0,46634000000.0,45125000000.0,45495000000.0,44876000000.0,47684000000.0,47840000000.0,49275000000.0,47528000000.0,49248000000.0,49603000000.0,50773000000.0,50710000000.0,51437000000.0,52099000000.0,51843000000.0,50873000000.0,51510000000.0,51758000000.0,52030000000.0,52880000000.0,54622000000.0,56978000000.0,56666000000.0,52456000000.0
4,DefinedBenefitPensionPlanLiabilitiesNoncurrent,BS,11184000000.0,11194000000.0,10506000000.0,10607000000.0,10826000000.0,10720000000.0,9979000000.0,13502000000.0,13190000000.0,12775000000.0,12967000000.0,15278000000.0,15397000000.0,14766000000.0,14135000000.0,9361000000.0,9438000000.0,10046000000.0,9556000000.0,11413000000.0,11400000000.0,11387000000.0,11374000000.0,11807000000.0,11800000000.0,11816000000.0,11859000000.0,13855000000.0,13908000000.0,13960000000.0,13998000000.0,15703000000.0,14199000000.0,12196000000.0,10692000000.0,11410000000.0,11418000000.0,11426000000.0,11436000000.0,13234000000.0,13078000000.0,12921000000.0,12765000000.0,12874000000.0,12643000000.0,12412000000.0,9351000000.0,8319000000.0,8143000000.0,5808000000.0,5745000000.0,5472000000.0,5422000000.0,5373000000.0,5323000000.0,6162000000.0
5,CashAndCashEquivalentsAtCarryingValue,CF,3288000000.0,2722000000.0,2656000000.0,2261000000.0,3357000000.0,3268000000.0,4564000000.0,3582000000.0,3518000000.0,3802000000.0,4652000000.0,1898000000.0,3065000000.0,2845000000.0,2661000000.0,2617000000.0,3264000000.0,3436000000.0,2963000000.0,1446000000.0,3486000000.0,3202000000.0,3300000000.0,1090000000.0,1452000000.0,1269000000.0,2895000000.0,1837000000.0,2216000000.0,2452000000.0,2941000000.0,2861000000.0,2393000000.0,1181000000.0,897000000.0,772000000.0,,,,,,,,,,,,,,,,,,,,
6,ShareBasedCompensation,CF,41000000.0,82000000.0,,168000000.0,39000000.0,79000000.0,116000000.0,157000000.0,41000000.0,87000000.0,129000000.0,167000000.0,53000000.0,112000000.0,150000000.0,189000000.0,48000000.0,49000000.0,31000000.0,164000000.0,40000000.0,49000000.0,29000000.0,138000000.0,44000000.0,53000000.0,124000000.0,149000000.0,44000000.0,101000000.0,133000000.0,158000000.0,38000000.0,98000000.0,148000000.0,173000000.0,37000000.0,104000000.0,158000000.0,189000000.0,42000000.0,115000000.0,182000000.0,221000000.0,47000000.0,127000000.0,189000000.0,227000000.0,54000000.0,134000000.0,195000000.0,238000000.0,57000000.0,146000000.0,221000000.0,265000000.0
7,CommonStockDividendsPerShareDeclared,IS,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NetIncomeLoss,IS,547000000.0,825000000.0,571000000.0,983000000.0,530000000.0,742000000.0,700000000.0,683000000.0,668000000.0,781000000.0,727000000.0,569000000.0,761000000.0,859000000.0,873000000.0,488000000.0,933000000.0,889000000.0,888000000.0,904000000.0,878000000.0,929000000.0,865000000.0,933000000.0,794000000.0,1021000000.0,2395000000.0,988000000.0,763000000.0,942000000.0,939000000.0,-642000000.0,1157000000.0,1163000000.0,1473000000.0,1253000000.0,1704000000.0,1420000000.0,1608000000.0,1498000000.0,1717000000.0,1626000000.0,1698000000.0,1792000000.0,1837000000.0,1815000000.0,614000000.0,6315000000.0,1733000000.0,309000000.0,1778000000.0,5732000000.0,1689000000.0,1681000000.0,1684000000.0,6920000000.0
9,DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent,BS,164000000.0,167000000.0,171000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
