,tag,stmt,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-31 00:00:00,2012-03-31 00:00:00,2012-06-30 00:00:00,2012-09-30 00:00:00,2012-12-31 00:00:00,2013-03-31 00:00:00,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00
0,DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation,IS,0.0,2000000.0,13000000.0,,1000000.0,0.0,2000000.0,1000000.0,0.0,-2000000.0,-4000000.0,,,,2000000.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CostOfGoodsSold,IS,11580000000.0,12273000000.0,47639000000.0,9822000000.0,10115000000.0,11232000000.0,42194000000.0,9506000000.0,10823000000.0,12006000000.0,46642000000.0,13661000000.0,14759000000.0,14683000000.0,60309000000.0,13728000000.0,16437000000.0,16865000000.0,65640000000.0,15258000000.0,16674000000.0,18091000000.0,68551000000.0,16380000000.0,19247000000.0,19393000000.0,73446000000.0,16945000000.0,20265000000.0,17907000000.0,72713000000.0,15363000000.0,16443000000.0,18050000000.0,68365000000.0,16816000000.0,17436000000.0,,,,,,,,,,,,,,,,,,,,,,,,
2,WeightedAverageNumberOfDilutedSharesOutstanding,IS,707400000.0,701300000.0,,740100000.0,742900000.0,744600000.0,,749000000.0,752600000.0,753900000.0,,759600000.0,762000000.0,765200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ResearchAndDevelopmentExpense,IS,960000000.0,3574000000.0,6506000000.0,1000000000.0,1001000000.0,986000000.0,4121000000.0,1057000000.0,1047000000.0,901000000.0,3918000000.0,835000000.0,857000000.0,853000000.0,3298000000.0,705000000.0,763000000.0,755000000.0,3071000000.0,809000000.0,733000000.0,750000000.0,3047000000.0,769000000.0,800000000.0,857000000.0,3331000000.0,917000000.0,2127000000.0,857000000.0,4627000000.0,838000000.0,813000000.0,767000000.0,3179000000.0,764000000.0,827000000.0,826000000.0,3269000000.0,866000000.0,826000000.0,778000000.0,3219000000.0,672000000.0,625000000.0,574000000.0,2476000000.0,499000000.0,497000000.0,575000000.0,2249000000.0,633000000.0,698000000.0,727000000.0,2852000000.0,741000000.0,797000000.0,958000000.0,3377000000.0,868000000.0,954000000.0
4,EarningsPerShareDiluted,IS,1.41,-2.23,1.84,0.7,1.06,1.12,1.56,0.78,1.25,1.46,1.84,1.22,1.27,1.35,1.28,1.44,1.41,1.51,1.61,1.28,2.24,1.86,2.02,1.87,1.59,2.47,1.51,1.83,-0.37,3.6,2.59,2.34,2.89,3.06,5.18,4.15,3.73,4.07,5.93,3.75,-5.21,2.05,-1.79,-1.11,-4.2,-0.79,-14.65,-0.92,1.0,-0.19,-7.15,-2.06,0.32,-5.49,-8.3,-0.69,-0.25,-2.7,-3.67,-0.56,-2.33
5,SalesRevenueGoodsNet,IS,14296000000.0,13967000000.0,57032000000.0,12316000000.0,12624000000.0,14077000000.0,52586000000.0,11894000000.0,13640000000.0,14907000000.0,57401000000.0,16685000000.0,17341000000.0,17415000000.0,71234000000.0,16318000000.0,19238000000.0,19754000000.0,76792000000.0,18015000000.0,19527000000.0,21378000000.0,80688000000.0,19485000000.0,21923000000.0,23000000000.0,85255000000.0,19885000000.0,22184000000.0,21494000000.0,84399000000.0,18512000000.0,20147000000.0,21825000000.0,83204000000.0,20820000000.0,21565000000.0,,,,,,,,,,,,,,,,,,,,,,,,
6,IncomeTaxExpenseBenefit,IS,499000000.0,-687000000.0,396000000.0,531000000.0,421000000.0,407000000.0,371000000.0,295000000.0,483000000.0,548000000.0,397000000.0,539000000.0,479000000.0,432000000.0,2007000000.0,332000000.0,546000000.0,567000000.0,1646000000.0,494000000.0,64000000.0,669000000.0,1691000000.0,610000000.0,513000000.0,783000000.0,1979000000.0,522000000.0,-245000000.0,-76000000.0,673000000.0,508000000.0,708000000.0,794000000.0,1850000000.0,362000000.0,390000000.0,-230000000.0,1144000000.0,184000000.0,-485000000.0,10000000.0,-1623000000.0,-862000000.0,-1028000000.0,-459000000.0,-2535000000.0,-11000000.0,-18000000.0,-178000000.0,-743000000.0,-376000000.0,217000000.0,176000000.0,31000000.0,-71000000.0,-251000000.0,538000000.0,237000000.0,-23000000.0,-76000000.0
7,GeneralAndAdministrativeExpense,IS,925000000.0,868000000.0,3364000000.0,953000000.0,778000000.0,936000000.0,3644000000.0,866000000.0,870000000.0,807000000.0,3408000000.0,955000000.0,903000000.0,916000000.0,3717000000.0,971000000.0,929000000.0,956000000.0,3956000000.0,877000000.0,918000000.0,932000000.0,3767000000.0,945000000.0,760000000.0,889000000.0,3525000000.0,888000000.0,806000000.0,923000000.0,3616000000.0,933000000.0,1040000000.0,915000000.0,4094000000.0,997000000.0,1194000000.0,1154000000.0,4567000000.0,1184000000.0,672000000.0,1001000000.0,3909000000.0,873000000.0,1161000000.0,955000000.0,4817000000.0,1032000000.0,1040000000.0,1097000000.0,4157000000.0,863000000.0,668000000.0,1226000000.0,4187000000.0,1304000000.0,1286000000.0,1043000000.0,5168000000.0,1161000000.0,1377000000.0
8,IncomeLossFromContinuingOperationsPerDilutedShare,IS,1.41,-2.22,1.87,0.7,1.06,1.12,1.56,0.78,1.25,1.46,1.83,1.22,1.27,1.35,1.28,1.44,1.41,1.51,1.61,1.28,2.24,1.86,2.02,,,,,,,,,,,,,,,,,3.75,-5.21,,,,,,,,,,,,,,,,,,,,
9,IncomeLossFromEquityMethodInvestments,IS,70000000.0,84000000.0,249000000.0,59000000.0,54000000.0,74000000.0,267000000.0,62000000.0,88000000.0,52000000.0,278000000.0,46000000.0,45000000.0,120000000.0,268000000.0,45000000.0,43000000.0,59000000.0,214000000.0,59000000.0,61000000.0,92000000.0,287000000.0,79000000.0,50000000.0,78000000.0,274000000.0,54000000.0,97000000.0,69000000.0,303000000.0,81000000.0,39000000.0,49000000.0,233000000.0,74000000.0,6000000.0,32000000.0,,,,,,,,,,,,,,,,,,,,,,,
