,tag,stmt,2009-06-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-31 00:00:00,2012-03-31 00:00:00,2012-06-30 00:00:00,2012-09-30 00:00:00,2012-12-31 00:00:00,2013-03-31 00:00:00,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00
0,CostOfGoodsSold,IS,2913000000.0,11088000000.0,2541000000.0,2955000000.0,2918000000.0,12693000000.0,3949000000.0,4989000000.0,4875000000.0,18216000000.0,4348000000.0,5224000000.0,4853000000.0,19053000000.0,4324000000.0,4989000000.0,4793000000.0,18421000000.0,4083000000.0,4819000000.0,4630000000.0,17889000000.0,4103000000.0,4748000000.0,4577000000.0,17482000000.0,4069000000.0,4471000000.0,4131000000.0,16465000000.0,3513000000.0,3659000000.0,3395000000.0,13256000000.0,2738000000.0,3252000000.0,,,,,,,,,,,,,,,,,,,,,,,,
1,WeightedAverageNumberOfDilutedSharesOutstanding,IS,2323000000.0,2329000000.0,2327000000.0,2325000000.0,2336000000.0,2333000000.0,2331000000.0,2330000000.0,2326000000.0,2323000000.0,2301000000.0,2296000000.0,4587000000.0,4584000000.0,4530000000.0,4527000000.0,4498000000.0,4509000000.0,4464000000.0,4454000000.0,4445000000.0,4450000000.0,4422000000.0,4408000000.0,4399000000.0,4405000000.0,4382000000.0,4377000000.0,4364000000.0,4367000000.0,4334000000.0,4327000000.0,4320000000.0,4324000000.0,4306.0,4290.0,4295.0,4299000000.0,4306.0,4305000000.0,4321000000.0,4314000000.0,4325000000.0,4316000000.0,4321000000.0,4323000000.0,4330000000.0,4338000000.0,4344000000.0,4340000000.0,4357000000.0,4353000000.0,4346000000.0,4350000000.0,4345000000.0,4341000000.0,4339000000.0,4339000000.0,4322000000.0,4319000000.0
2,SellingGeneralAndAdministrativeExpense,IS,2844000000.0,11358000000.0,2705000000.0,2878000000.0,3064000000.0,13158000000.0,4080000000.0,4422000000.0,4527000000.0,17440000000.0,4181000000.0,4497000000.0,4630000000.0,17738000000.0,4182000000.0,4385000000.0,4424000000.0,17310000000.0,3989000000.0,4384000000.0,4507000000.0,17218000000.0,4079000000.0,4204000000.0,4207000000.0,16427000000.0,3761000000.0,3912000000.0,4009000000.0,15262000000.0,3315000000.0,3142000000.0,3203000000.0,12496000000.0,2541000000.0,2723000000.0,2505000000.0,10307000000.0,2567000000.0,2996000000.0,3116000000.0,12103000000.0,2648000000.0,1983000000.0,2511000000.0,9731000000.0,2669000000.0,3017000000.0,3122000000.0,12144000000.0,2967000000.0,3203000000.0,3279000000.0,12880000000.0,3185000000.0,3321000000.0,3667000000.0,13972000000.0,3351000000.0,3549000000.0
3,EarningsPerShareDiluted,IS,0.88,2.93,0.69,1.02,0.88,5.06,0.82,1.2,0.95,3.69,0.89,1.21,0.5,1.97,0.39,0.59,0.54,1.9,0.36,0.58,0.48,1.6,0.35,0.71,0.33,1.67,0.34,0.79,0.24,1.49,0.27,0.32,0.33,0.29,0.32,0.54,0.44,1.5,0.39,0.61,0.6,2.07,0.64,0.41,0.4,1.79,0.52,0.61,0.57,2.25,0.64,0.44,0.65,2.19,0.72,0.59,0.71,2.47,0.74,0.56
4,SalesRevenueGoodsNet,IS,8267000000.0,30990000000.0,7525000000.0,8674000000.0,8426000000.0,35119000000.0,10517000000.0,12737000000.0,12248000000.0,46542000000.0,11137000000.0,13085000000.0,12340000000.0,48017000000.0,11035000000.0,12749000000.0,12030000000.0,46854000000.0,10576000000.0,12574000000.0,11976000000.0,45998000000.0,10711000000.0,12156000000.0,11427000000.0,44294000000.0,10282000000.0,11539000000.0,10633000000.0,41863000000.0,9118000000.0,9702000000.0,9078000000.0,35410000000.0,7626000000.0,8927000000.0,,,,,,,,,,,,,,,,,,,,,,,,
5,NetIncomeLossAttributableToNoncontrollingInterest,IS,12000000.0,82000000.0,12000000.0,13000000.0,12000000.0,50000000.0,13000000.0,7000000.0,22000000.0,62000000.0,13000000.0,12000000.0,18000000.0,67000000.0,18000000.0,18000000.0,8000000.0,42000000.0,7000000.0,10000000.0,8000000.0,26000000.0,9000000.0,3000000.0,4000000.0,15000000.0,10000000.0,12000000.0,4000000.0,23000000.0,2000000.0,1000000.0,-3000000.0,35000000.0,32000000.0,15000000.0,-62000000.0,42000000.0,25000000.0,21000000.0,-4000000.0,65000000.0,20000000.0,-20000000.0,3000000.0,21000000.0,10000000.0,-17000000.0,4000000.0,33000000.0,12000000.0,-5000000.0,-3000000.0,29000000.0,6000000.0,-26000000.0,-4000000.0,-11000000.0,8000000.0,-10000000.0
6,IncomeTaxExpenseBenefit,IS,679000000.0,2040000000.0,553000000.0,741000000.0,633000000.0,2384000000.0,598000000.0,990000000.0,680000000.0,2805000000.0,658000000.0,823000000.0,755000000.0,2723000000.0,575000000.0,831000000.0,925000000.0,2851000000.0,579000000.0,779000000.0,538000000.0,2201000000.0,415000000.0,1250000000.0,272000000.0,2239000000.0,401000000.0,839000000.0,378000000.0,1586000000.0,323000000.0,1252000000.0,230000000.0,55000000.0,40000000.0,16000000.0,26000000.0,87000000.0,486000000.0,421000000.0,503000000.0,1801000000.0,-40000000.0,-40000000.0,-40000000.0,1981000000.0,508000000.0,994000000.0,609000000.0,2621000000.0,665000000.0,384000000.0,622000000.0,2115000000.0,940000000.0,359000000.0,454000000.0,2249000000.0,687000000.0,627000000.0
7,OtherCostAndExpenseOperating,IS,72000000.0,313000000.0,96000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155000000.0,1079000000.0,46000000.0,92000000.0,125000000.0,458000000.0,202000000.0,173000000.0,372000000.0,853000000.0,124000000.0,309000000.0,45000000.0,846000000.0,28000000.0,951000000.0,130000000.0,1215000000.0,111000000.0,1338000000.0,359000000.0,1951000000.0,7000000.0,
8,WeightedAverageNumberOfSharesOutstandingBasic,IS,2313000000.0,2314000000.0,2304000000.0,2306000000.0,2310000000.0,2308000000.0,2292000000.0,2290000000.0,2286000000.0,2284000000.0,2263000000.0,2255000000.0,4502000000.0,4504000000.0,4455000000.0,4446000000.0,4426000000.0,4434000000.0,4401000000.0,4391000000.0,4383000000.0,4387000000.0,4365000000.0,4355000000.0,4349000000.0,4352000000.0,4328000000.0,4323000000.0,4315000000.0,4317000000.0,4287000000.0,4273000000.0,4266000000.0,4272000000.0,4265.0,4255.0,4255.0,4259000000.0,4271.0,4269000000.0,4280000000.0,4276000000.0,4289000000.0,4295000000.0,4296000000.0,4295000000.0,4307000000.0,4313000000.0,4318000000.0,4315000000.0,4332000000.0,4331000000.0,4325000000.0,4328000000.0,4326000000.0,4325000000.0,4324000000.0,4323000000.0,4310000000.0,4309000000.0
9,IncomeLossFromEquityMethodInvestments,IS,310000000.0,781000000.0,136000000.0,356000000.0,355000000.0,1025000000.0,134000000.0,221000000.0,180000000.0,690000000.0,140000000.0,245000000.0,252000000.0,819000000.0,87000000.0,246000000.0,204000000.0,602000000.0,71000000.0,254000000.0,205000000.0,769000000.0,2000000.0,200000000.0,200000000.0,489000000.0,92000000.0,305000000.0,281000000.0,835000000.0,116000000.0,409000000.0,358000000.0,1071000000.0,142000000.0,324000000.0,347000000.0,1008000000.0,133000000.0,329000000.0,346000000.0,1049000000.0,167000000.0,176000000.0,431000000.0,978000000.0,279000000.0,402000000.0,455000000.0,1438000000.0,262000000.0,392000000.0,479000000.0,1472000000.0,275000000.0,538000000.0,517000000.0,1691000000.0,354000000.0,537000000.0
