,tag,stmt,2009-07-31 00:00:00,2009-10-31 00:00:00,2010-01-31 00:00:00,2010-04-30 00:00:00,2010-07-31 00:00:00,2010-10-31 00:00:00,2011-01-31 00:00:00,2011-04-30 00:00:00,2011-07-31 00:00:00,2011-10-31 00:00:00,2012-01-31 00:00:00,2012-04-30 00:00:00,2012-07-31 00:00:00,2012-10-31 00:00:00,2013-01-31 00:00:00,2013-04-30 00:00:00,2013-07-31 00:00:00,2013-10-31 00:00:00,2014-01-31 00:00:00,2014-04-30 00:00:00,2014-07-31 00:00:00,2014-10-31 00:00:00,2015-01-31 00:00:00,2015-04-30 00:00:00,2015-07-31 00:00:00,2015-10-31 00:00:00,2016-01-31 00:00:00,2016-04-30 00:00:00,2016-07-31 00:00:00,2016-10-31 00:00:00,2017-01-31 00:00:00,2017-04-30 00:00:00,2017-07-31 00:00:00,2017-10-31 00:00:00,2018-01-31 00:00:00,2018-04-30 00:00:00,2018-07-31 00:00:00,2018-10-31 00:00:00,2019-01-31 00:00:00,2019-04-30 00:00:00,2019-07-31 00:00:00,2019-10-31 00:00:00,2020-01-31 00:00:00,2020-04-30 00:00:00,2020-07-31 00:00:00,2020-10-31 00:00:00,2021-01-31 00:00:00,2021-04-30 00:00:00,2021-07-31 00:00:00,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,2022-10-31 00:00:00,2023-01-31 00:00:00,2023-04-30 00:00:00,2023-07-31 00:00:00,2023-10-31 00:00:00,2024-01-31 00:00:00,2024-04-30 00:00:00,2024-07-31 00:00:00
0,OperatingExpenses,IS,4555000000.0,4298000000.0,17609000000.0,4489000000.0,4533000000.0,4237000000.0,17465000000.0,4406000000.0,4582000000.0,4346000000.0,17601000000.0,4469000000.0,4457000000.0,4534000000.0,18076000000.0,4585000000.0,4703000000.0,4505000000.0,18224000000.0,4608000000.0,4713000000.0,4632000000.0,18485000000.0,4582000000.0,4718000000.0,4584000000.0,18491000000.0,4714000000.0,4824000000.0,4722000000.0,18886000000.0,4805000000.0,4998000000.0,4968000000.0,19675000000.0,5236000000.0,5464000000.0,5281000000.0,21630000000.0,5420000000.0,5536000000.0,5440000000.0,21729000000.0,6349000000.0,6874000000.0,6604000000.0,26575000000.0,6961000000.0,7026000000.0,6768000000.0,27792000000.0,7216000000.0,7273000000.0,7076000000.0,28739000000.0,7006000000.0,7568000000.0,7332000000.0,29271000000.0,7354000000.0,7882000000.0
1,SellingGeneralAndAdministrativeExpense,IS,4121000000.0,3870000000.0,15902000000.0,4078000000.0,4127000000.0,3837000000.0,15849000000.0,4009000000.0,4186000000.0,3956000000.0,16028000000.0,4086000000.0,4066000000.0,4139000000.0,16508000000.0,4183000000.0,4294000000.0,4096000000.0,16597000000.0,4194000000.0,4298000000.0,4217000000.0,16834000000.0,4163000000.0,4299000000.0,4161000000.0,16801000000.0,4281000000.0,4388000000.0,4280000000.0,17132000000.0,4361000000.0,4549000000.0,4514000000.0,17864000000.0,4779000000.0,5004000000.0,4808000000.0,19513000000.0,4940000000.0,5044000000.0,4942000000.0,19740000000.0,5829000000.0,6355000000.0,6076000000.0,24447000000.0,6374000000.0,6433000000.0,6168000000.0,25406000000.0,6610000000.0,6657000000.0,6468000000.0,26284000000.0,6355000000.0,6915000000.0,6649000000.0,26598000000.0,6667000000.0,7144000000.0
2,DepreciationAndAmortization,IS,434000000.0,428000000.0,1707000000.0,411000000.0,406000000.0,400000000.0,1616000000.0,397000000.0,396000000.0,390000000.0,1573000000.0,383000000.0,391000000.0,395000000.0,1568000000.0,402000000.0,409000000.0,409000000.0,1627000000.0,414000000.0,415000000.0,415000000.0,1651000000.0,419000000.0,419000000.0,423000000.0,1690000000.0,433000000.0,436000000.0,442000000.0,1754000000.0,444000000.0,449000000.0,454000000.0,1811000000.0,457000000.0,460000000.0,473000000.0,1870000000.0,480000000.0,492000000.0,498000000.0,1989000000.0,520000000.0,519000000.0,528000000.0,2128000000.0,587000000.0,593000000.0,600000000.0,2386000000.0,606000000.0,616000000.0,608000000.0,2455000000.0,651000000.0,653000000.0,683000000.0,2673000000.0,687000000.0,738000000.0
3,WeightedAverageNumberOfDilutedSharesOutstanding,IS,1691000000.0,1693000000.0,1692000000.0,1688000000.0,1663000000.0,1646000000.0,1658000000.0,1611000000.0,1577000000.0,1548000000.0,1570000000.0,1531000000.0,1512000000.0,1498000000.0,1511000000.0,1478000000.0,1443000000.0,1417000000.0,1434000000.0,1376000000.0,1353000000.0,1334000000.0,1346000000.0,1305000000.0,1289000000.0,1274000000.0,1283000000.0,1252000000.0,1240000000.0,1229000000.0,1234000000.0,1204000000.0,1189000000.0,1174000000.0,1184000000.0,1158000000.0,1149000000.0,1141000000.0,1143000000.0,1106000000.0,1099000000.0,1094000000.0,1097000000.0,1077000000.0,1077000000.0,1078000000.0,1078000000.0,1075000000.0,1062000000.0,1053000000.0,1058000000.0,1034000000.0,1025000000.0,1023000000.0,1025000000.0,1013000000.0,1003000000.0,999000000.0,1002000000.0,992000000.0,992000000.0
4,EarningsPerShareDiluted,IS,0.66,0.41,1.57,0.43,0.72,0.51,2.01,0.5,0.86,0.6,2.47,0.68,1.01,0.63,0.68,0.83,1.24,0.95,0.73,1.0,1.52,1.15,1.05,1.21,1.73,1.35,1.17,1.44,1.97,1.6,1.44,1.67,2.25,1.84,1.52,2.08,3.05,2.51,2.09,2.27,3.17,2.53,2.28,2.08,4.02,3.18,11.94,3.86,4.53,3.92,15.53,4.09,5.05,4.24,16.69,3.82,4.65,3.81,15.11,3.63,4.6
5,IncomeTaxExpenseBenefit,IS,556000000.0,410000000.0,1362000000.0,391000000.0,709000000.0,472000000.0,1935000000.0,471000000.0,785000000.0,523000000.0,2185000000.0,595000000.0,886000000.0,636000000.0,2686000000.0,707000000.0,1051000000.0,754000000.0,3082000000.0,807000000.0,1207000000.0,903000000.0,3631000000.0,825000000.0,1329000000.0,1016000000.0,4012000000.0,1037000000.0,1434000000.0,1115000000.0,4534000000.0,1094000000.0,1542000000.0,1268000000.0,5068000000.0,738000000.0,1149000000.0,779000000.0,3435000000.0,811000000.0,1134000000.0,898000000.0,3473000000.0,724000000.0,1398000000.0,1091000000.0,4112000000.0,1303000000.0,1511000000.0,1340000000.0,5304000000.0,1329000000.0,1658000000.0,1403000000.0,5372000000.0,1237000000.0,1502000000.0,1158000000.0,4781000000.0,1051000000.0,1484000000.0
6,WeightedAverageNumberOfSharesOutstandingBasic,IS,1683000000.0,1682000000.0,1683000000.0,1677000000.0,1653000000.0,1637000000.0,1648000000.0,1599000000.0,1568000000.0,1540000000.0,1562000000.0,1522000000.0,1501000000.0,1487000000.0,1499000000.0,1468000000.0,1434000000.0,1408000000.0,1425000000.0,1367000000.0,1346000000.0,1327000000.0,1338000000.0,1298000000.0,1283000000.0,1268000000.0,1277000000.0,1247000000.0,1235000000.0,1224000000.0,1229000000.0,1198000000.0,1183000000.0,1168000000.0,1178000000.0,1152000000.0,1144000000.0,1135000000.0,1137000000.0,1101000000.0,1095000000.0,1089000000.0,1093000000.0,1073000000.0,1073000000.0,1073000000.0,1074000000.0,1071000000.0,1058000000.0,1049000000.0,1054000000.0,1030000000.0,1023000000.0,1020000000.0,1022000000.0,1010000000.0,1000000000.0,996000000.0,999000000.0,989000000.0,990000000.0
7,Revenues,IS,19071000000.0,16361000000.0,66176000000.0,16863000000.0,19410000000.0,16598000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CommonStockDividendsPerShareDeclared,IS,0.225,0.225,,0.2363,0.2363,0.2363,,0.25,0.25,0.29,,0.29,0.29,0.29,,0.39,0.39,0.39,,0.47,0.47,0.47,,0.59,0.59,0.59,,0.69,0.69,0.69,,0.89,0.89,0.89,,1.03,1.03,1.03,,,,,,,,,,,,,,,,,,,,,,,
9,InvestmentIncomeInterestAndDividend,IS,6000000.0,4000000.0,18000000.0,4000000.0,3000000.0,4000000.0,15000000.0,2000000.0,3000000.0,4000000.0,13000000.0,5000000.0,4000000.0,5000000.0,20000000.0,3000000.0,2000000.0,3000000.0,12000000.0,100000000.0,,,,,,,,,,,,13000000.0,16000000.0,22000000.0,,22000000.0,26000000.0,25000000.0,,15000000.0,19000000.0,22000000.0,,17000000.0,9000000.0,11000000.0,,6000000.0,5000000.0,15000000.0,,3000000.0,2000000.0,7000000.0,,33000000.0,41000000.0,49000000.0,178000000.0,57000000.0,84000000.0
10,InterestAndOtherNet,IS,161000000.0,-164000000.0,-821000000.0,-189000000.0,-148000000.0,-142000000.0,566000000.0,139000000.0,146000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,NetIncomeLoss,IS,1116000000.0,689000000.0,2661000000.0,725000000.0,1192000000.0,834000000.0,3338000000.0,812000000.0,1363000000.0,934000000.0,3883000000.0,1035000000.0,1532000000.0,947000000.0,1021000000.0,1226000000.0,1795000000.0,1351000000.0,1013000000.0,1379000000.0,2050000000.0,1537000000.0,1379000000.0,1579000000.0,2234000000.0,1725000000.0,1471000000.0,1803000000.0,2441000000.0,1969000000.0,1744000000.0,2014000000.0,2672000000.0,2165000000.0,1779000000.0,2404000000.0,3506000000.0,2867000000.0,2344000000.0,2513000000.0,3479000000.0,2769000000.0,2481000000.0,2245000000.0,4332000000.0,3432000000.0,12866000000.0,4145000000.0,4807000000.0,4129000000.0,16433000000.0,4231000000.0,5173000000.0,4339000000.0,17105000000.0,3873000000.0,4659000000.0,3810000000.0,15143000000.0,3600000000.0,4561000000.0
12,GrossProfit,IS,6388000000.0,5561000000.0,22412000000.0,5794000000.0,6582000000.0,5685000000.0,5243000000.0,5828000000.0,6876000000.0,5961000000.0,5597000000.0,6183000000.0,7026000000.0,6267000000.0,6366000000.0,6679000000.0,7721000000.0,6798000000.0,6192000000.0,6885000000.0,8161000000.0,7185000000.0,6723000000.0,7179000000.0,8365000000.0,7565000000.0,7156000000.0,7791000000.0,8927000000.0,8042000000.0,7553000000.0,8154000000.0,9461000000.0,8648000000.0,8093000000.0,8617000000.0,10365000000.0,9151000000.0,9027000000.0,9017000000.0,10432000000.0,9387000000.0,8736000000.0,9625000000.0,12941000000.0,11456000000.0,44853000000.0,12742000000.0,13665000000.0,12563000000.0,50832000000.0,13145000000.0,14483000000.0,13224000000.0,52778000000.0,12557000000.0,14157000000.0,12738000000.0,50960000000.0,12433000000.0,14416000000.0
13,OperatingIncomeLoss,IS,1833000000.0,1263000000.0,4803000000.0,1305000000.0,2049000000.0,1448000000.0,5839000000.0,1422000000.0,2294000000.0,1615000000.0,6661000000.0,1714000000.0,2569000000.0,1733000000.0,7766000000.0,2094000000.0,3018000000.0,2293000000.0,9166000000.0,2277000000.0,3448000000.0,2553000000.0,10469000000.0,2597000000.0,3647000000.0,2981000000.0,11774000000.0,3077000000.0,4103000000.0,3320000000.0,13427000000.0,3349000000.0,4463000000.0,3680000000.0,14681000000.0,3381000000.0,4901000000.0,3870000000.0,15530000000.0,3597000000.0,4896000000.0,3947000000.0,15843000000.0,3276000000.0,6067000000.0,4852000000.0,18278000000.0,5781000000.0,6639000000.0,5795000000.0,23040000000.0,5929000000.0,7210000000.0,6148000000.0,24039000000.0,5551000000.0,6589000000.0,5406000000.0,21689000000.0,5079000000.0,6534000000.0
