,tag,stmt,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-31 00:00:00,2012-03-31 00:00:00,2012-06-30 00:00:00,2012-09-30 00:00:00,2012-12-31 00:00:00,2013-03-31 00:00:00,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00
0,CostOfGoodsSold,IS,422000000.0,442000000.0,1765000000.0,483000000.0,534000000.0,536000000.0,2116000000.0,599000000.0,554000000.0,609000000.0,2385000000.0,634000000.0,620000000.0,627000000.0,2523000000.0,682000000.0,669000000.0,731000000.0,2839000000.0,892000000.0,929000000.0,955000000.0,3784000000.0,1100000000.0,1111000000.0,6100000000.0,16206000000.0,5877000000.0,6106000000.0,6125000000.0,24416000000.0,5676000000.0,5889000000.0,6068000000.0,24112000000.0,6184000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,WeightedAverageNumberOfDilutedSharesOutstanding,IS,1180000000.0,1164000000.0,1179000000.0,1156000000.0,1135000000.0,1124000000.0,1131000000.0,1099000000.0,1094000000.0,1083000000.0,1087000000.0,1060000000.0,1049000000.0,1039000000.0,1046000000.0,1029000000.0,1026000000.0,1024000000.0,1023000000.0,996000000.0,991000000.0,982000000.0,986000000.0,969000000.0,966000000.0,967000000.0,967000000.0,967000000.0,967000000.0,969000000.0,968000000.0,975000000.0,985000000.0,989000000.0,985000000.0,987000000.0,982000000.0,983000000.0,983000000.0,975000000.0,964000000.0,963000000.0,966000000.0,962000000.0,960000000.0,962000000.0,961000000.0,957000000.0,956000000.0,955000000.0,956000000.0,954000000.0,950000000.0,948000000.0,950000000.0,943000000.0,940000000.0,936000000.0,938000000.0,922000000.0,928000000.0
2,SellingGeneralAndAdministrativeExpense,IS,3037000000.0,3156000000.0,12734000000.0,3276000000.0,3359000000.0,3548000000.0,54000000.0,3617000000.0,3733000000.0,3899000000.0,15557000000.0,4096000000.0,4080000000.0,4277000000.0,17306000000.0,4614000000.0,4825000000.0,4869000000.0,19362000000.0,5194000000.0,5206000000.0,5436000000.0,21681000000.0,5949000000.0,5852000000.0,6301000000.0,24312000000.0,6758000000.0,6793000000.0,7033000000.0,28401000000.0,7022000000.0,7328000000.0,7387000000.0,29557000000.0,8506000000.0,8386000000.0,8479000000.0,34074000000.0,8517000000.0,8415000000.0,8960000000.0,35193000000.0,10015000000.0,10001000000.0,10174000000.0,41704000000.0,10223000000.0,10359000000.0,10725000000.0,42579000000.0,11401000000.0,11709000000.0,11663000000.0,47782000000.0,13625000000.0,13809000000.0,13855000000.0,54628000000.0,14077000000.0,13162000000.0
3,DepreciationAndAmortization,IS,249000000.0,250000000.0,991000000.0,248000000.0,249000000.0,247000000.0,1064000000.0,270000000.0,270000000.0,294000000.0,1124000000.0,296000000.0,326000000.0,317000000.0,1309000000.0,336000000.0,340000000.0,349000000.0,1375000000.0,360000000.0,364000000.0,373000000.0,1478000000.0,378000000.0,379000000.0,452000000.0,1693000000.0,502000000.0,511000000.0,515000000.0,2055000000.0,533000000.0,556000000.0,578000000.0,2245000000.0,582000000.0,598000000.0,611000000.0,2428000000.0,639000000.0,654000000.0,709000000.0,2720000000.0,723000000.0,717000000.0,719000000.0,2891000000.0,758000000.0,778000000.0,796000000.0,3103000000.0,788000000.0,802000000.0,828000000.0,3400000000.0,970000000.0,1021000000.0,1007000000.0,3972000000.0,997000000.0,1020000000.0
4,PolicyholderBenefitsAndClaimsIncurredNet,IS,16507000000.0,16171000000.0,65289000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65735000000.0,65458000000.0
5,EarningsPerShareDiluted,IS,0.73,0.89,3.24,1.03,0.99,1.14,0.94,1.22,1.16,1.17,1.17,1.31,1.27,1.5,1.2,1.16,1.4,1.53,1.41,1.1,1.42,1.63,5.7,1.46,1.64,1.65,6.01,1.67,1.81,2.03,7.25,2.23,2.32,2.51,10.72,2.87,2.98,3.24,12.19,3.56,3.42,3.67,14.33,3.52,6.91,3.3,16.03,5.08,4.46,4.28,18.08,5.27,5.34,5.55,21.18,5.95,5.82,6.24,23.86,-1.53,4.54
6,SalesRevenueGoodsNet,IS,449000000.0,490000000.0,1925000000.0,528000000.0,577000000.0,596000000.0,2322000000.0,649000000.0,605000000.0,667000000.0,2612000000.0,688000000.0,678000000.0,693000000.0,2773000000.0,751000000.0,749000000.0,825000000.0,3190000000.0,998000000.0,1037000000.0,1080000000.0,4242000000.0,1230000000.0,1223000000.0,6482000000.0,17312000000.0,6393000000.0,6610000000.0,6696000000.0,26658000000.0,6129000000.0,6415000000.0,6665000000.0,26366000000.0,6702000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,IncomeTaxExpenseBenefit,IS,442000000.0,504000000.0,1986000000.0,700000000.0,659000000.0,749000000.0,-180000000.0,757000000.0,713000000.0,670000000.0,2817000000.0,781000000.0,736000000.0,895000000.0,3096000000.0,721000000.0,789000000.0,883000000.0,-130000000.0,795000000.0,989000000.0,1149000000.0,96000000.0,1077000000.0,1159000000.0,1171000000.0,111000000.0,1074000000.0,1172000000.0,1333000000.0,165000000.0,939000000.0,1080000000.0,1233000000.0,3200000000.0,800000000.0,850000000.0,953000000.0,3562000000.0,875000000.0,941000000.0,936000000.0,3742000000.0,1094000000.0,2115000000.0,1000000000.0,4973000000.0,1364000000.0,1196000000.0,1099000000.0,4578000000.0,1369000000.0,1466000000.0,1562000000.0,5704000000.0,1558000000.0,1572000000.0,1654000000.0,5968000000.0,1222000000.0,1244000000.0
8,PremiumsEarnedNet,IS,19746000000.0,19729000000.0,79315000000.0,21128000000.0,21125000000.0,21467000000.0,85405000000.0,23003000000.0,22813000000.0,22806000000.0,91983000000.0,24631000000.0,24609000000.0,24640000000.0,99728000000.0,27274000000.0,27220000000.0,27356000000.0,109557000000.0,28115000000.0,28840000000.0,28972000000.0,115302000000.0,31674000000.0,31961000000.0,31801000000.0,127163000000.0,34811000000.0,36413000000.0,36142000000.0,144118000000.0,38938000000.0,39585000000.0,39552000000.0,158453000000.0,44084000000.0,44458000000.0,44613000000.0,178087000000.0,47513000000.0,47164000000.0,47397000000.0,189699000000.0,50640000000.0,49394000000.0,50863000000.0,201478000000.0,55486000000.0,56233000000.0,56967000000.0,226233000000.0,64070000000.0,63896000000.0,64491000000.0,257157000000.0,72786000000.0,72474000000.0,72339000000.0,290827000000.0,77988000000.0,76897000000.0
9,WeightedAverageNumberOfSharesOutstandingBasic,IS,1170000000.0,1153000000.0,1168000000.0,1145000000.0,1127000000.0,1115000000.0,1120000000.0,1086000000.0,1075000000.0,1065000000.0,1070000000.0,1039000000.0,1028000000.0,1022000000.0,1027000000.0,1016000000.0,1009000000.0,1004000000.0,1006000000.0,983000000.0,979000000.0,969000000.0,972000000.0,954000000.0,952000000.0,953000000.0,953000000.0,953000000.0,951000000.0,952000000.0,952000000.0,954000000.0,964000000.0,968000000.0,964000000.0,966000000.0,961000000.0,962000000.0,963000000.0,958000000.0,950000000.0,949000000.0,951000000.0,949000000.0,949000000.0,950000000.0,949000000.0,945000000.0,944000000.0,943000000.0,943000000.0,941000000.0,937000000.0,935000000.0,937000000.0,933000000.0,930000000.0,926000000.0,928000000.0,922000000.0,921000000.0
