,tag,stmt,2009-07-31 00:00:00,2009-10-31 00:00:00,2010-01-31 00:00:00,2010-04-30 00:00:00,2010-07-31 00:00:00,2010-10-31 00:00:00,2011-01-31 00:00:00,2011-04-30 00:00:00,2011-07-31 00:00:00,2011-10-31 00:00:00,2012-01-31 00:00:00,2012-04-30 00:00:00,2012-07-31 00:00:00,2012-10-31 00:00:00,2013-01-31 00:00:00,2013-04-30 00:00:00,2013-07-31 00:00:00,2013-10-31 00:00:00,2014-01-31 00:00:00,2014-04-30 00:00:00,2014-07-31 00:00:00,2014-10-31 00:00:00,2015-01-31 00:00:00,2015-04-30 00:00:00,2015-07-31 00:00:00,2015-10-31 00:00:00,2016-01-31 00:00:00,2016-04-30 00:00:00,2016-07-31 00:00:00,2016-10-31 00:00:00,2017-01-31 00:00:00,2017-04-30 00:00:00,2017-07-31 00:00:00,2017-10-31 00:00:00,2018-01-31 00:00:00,2018-04-30 00:00:00,2018-07-31 00:00:00,2018-10-31 00:00:00,2019-01-31 00:00:00,2019-04-30 00:00:00,2019-07-31 00:00:00,2019-10-31 00:00:00,2020-01-31 00:00:00,2020-04-30 00:00:00,2020-07-31 00:00:00,2020-10-31 00:00:00,2021-01-31 00:00:00,2021-04-30 00:00:00,2021-07-31 00:00:00,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,2022-10-31 00:00:00,2023-01-31 00:00:00,2023-04-30 00:00:00,2023-07-31 00:00:00,2023-10-31 00:00:00,2024-01-31 00:00:00,2024-04-30 00:00:00,2024-07-31 00:00:00
0,WeightedAverageNumberOfDilutedSharesOutstanding,IS,3900000000.0,3861000000.0,3877000000.0,3781000000.0,3707000000.0,3631000000.0,3670000000.0,3513000000.0,3485000000.0,3458000000.0,3474000000.0,3425000000.0,3398000000.0,3379000000.0,3389000000.0,3318000000.0,3291000000.0,3271000000.0,3283000000.0,3248000000.0,3241000000.0,3240000000.0,3243000000.0,3243000000.0,3231000000.0,3219000000.0,3217000000.0,3154000000.0,3119000000.0,3100000000.0,3112000000.0,3047000000.0,3021000000.0,2996000000.0,3010000000.0,2967000000.0,2946000000.0,2941000000.0,2945000000.0,2886000000.0,2869000000.0,2861000000.0,2868000000.0,2849000000.0,2848000000.0,2849000000.0,2847000000.0,2829000000.0,2812000000.0,2797000000.0,2805000000.0,2765000000.0,2745000000.0,2711000000.0,2734000000.0,2704000000.0,2703000000.0,2703000000.0,8108000000.0,8084000000.0,8081000000.0
1,SellingGeneralAndAdministrativeExpense,IS,19875000000.0,20013000000.0,79607000000.0,19373000000.0,20013000000.0,20435000000.0,81020000000.0,20116000000.0,21213000000.0,21757000000.0,85265000000.0,21445000000.0,21941000000.0,22296000000.0,88873000000.0,21704000000.0,22697000000.0,22691000000.0,91353000000.0,22053000000.0,23375000000.0,23489000000.0,93418000000.0,22663000000.0,24104000000.0,24248000000.0,97041000000.0,24085000000.0,25204000000.0,25576000000.0,101853000000.0,24617000000.0,25865000000.0,26868000000.0,106510000000.0,25829000000.0,26707000000.0,26792000000.0,107147000000.0,25946000000.0,26871000000.0,27373000000.0,108791000000.0,27372000000.0,28994000000.0,28591000000.0,116288000000.0,28129000000.0,28511000000.0,29710000000.0,117812000000.0,29404000000.0,30167000000.0,34505000000.0,127140000000.0,30777000000.0,32466000000.0,33419000000.0,130971000000.0,33236000000.0,34585000000.0
2,EarningsPerShareDiluted,IS,0.88,0.84,3.7,0.88,1.84,0.95,1.7,0.97,1.09,0.96,1.5,1.09,1.18,1.08,1.67,1.14,1.24,1.14,1.36,1.11,1.26,1.15,1.53,1.03,1.08,1.03,1.43,0.98,1.21,0.98,1.22,1.0,0.96,0.58,0.73,0.72,-0.29,0.58,1.27,1.33,1.26,1.15,1.45,1.4,2.27,1.8,4.75,0.97,1.52,1.11,4.87,0.74,1.88,-0.66,4.27,0.62,2.92,0.17,1.91,0.63,0.56
3,NetIncomeLossAttributableToNoncontrollingInterest,IS,107000000.0,114000000.0,513000000.0,143000000.0,151000000.0,154000000.0,604000000.0,151000000.0,136000000.0,157000000.0,688000000.0,152000000.0,145000000.0,190000000.0,757000000.0,161000000.0,146000000.0,147000000.0,673000000.0,133000000.0,266000000.0,115000000.0,736000000.0,-58000000.0,160000000.0,110000000.0,386000000.0,137000000.0,116000000.0,168000000.0,650000000.0,113000000.0,205000000.0,155000000.0,661000000.0,142000000.0,134000000.0,107000000.0,509000000.0,64000000.0,70000000.0,33000000.0,320000000.0,84000000.0,-37000000.0,66000000.0,196000000.0,81000000.0,88000000.0,27000000.0,267000000.0,49000000.0,-2000000.0,31000000.0,-388000000.0,223000000.0,162000000.0,190000000.0,759000000.0,203000000.0,210000000.0
4,IncomeTaxExpenseBenefit,IS,1853000000.0,1758000000.0,7139000000.0,1834000000.0,1958000000.0,1505000000.0,-7579000000.0,1800000000.0,1868000000.0,1842000000.0,7944000000.0,1958000000.0,2032000000.0,1744000000.0,7981000000.0,1981000000.0,2025000000.0,1860000000.0,8105000000.0,1914000000.0,2113000000.0,1783000000.0,7985000000.0,1573000000.0,1891000000.0,1748000000.0,6558000000.0,1498000000.0,1710000000.0,1332000000.0,6204000000.0,1522000000.0,1502000000.0,975000000.0,4600000000.0,546000000.0,1125000000.0,759000000.0,4281000000.0,1251000000.0,1233000000.0,1052000000.0,4915000000.0,1322000000.0,2207000000.0,1914000000.0,6858000000.0,1033000000.0,1559000000.0,1015000000.0,4756000000.0,798000000.0,1497000000.0,336000000.0,5724000000.0,792000000.0,2674000000.0,272000000.0,5578000000.0,1728000000.0,1502000000.0
5,WeightedAverageNumberOfSharesOutstandingBasic,IS,3891000000.0,3851000000.0,3866000000.0,3765000000.0,3696000000.0,3617000000.0,3656000000.0,3497000000.0,3472000000.0,3445000000.0,3460000000.0,3409000000.0,3384000000.0,3364000000.0,3374000000.0,3301000000.0,3278000000.0,3257000000.0,3269000000.0,3233000000.0,3230000000.0,3229000000.0,3230000000.0,3231000000.0,3221000000.0,3210000000.0,3207000000.0,3144000000.0,3109000000.0,3089000000.0,3101000000.0,3035000000.0,3008000000.0,2981000000.0,2995000000.0,2950000000.0,2946000000.0,2924000000.0,2929000000.0,2869000000.0,2853000000.0,2843000000.0,2850000000.0,2831000000.0,2832000000.0,2833000000.0,2831000000.0,2815000000.0,2799000000.0,2785000000.0,2792000000.0,2754000000.0,2736000000.0,2711000000.0,2724000000.0,2694000000.0,2693000000.0,2693000000.0,8077000000.0,8053000000.0,8044000000.0
6,IncomeLossFromContinuingOperationsPerDilutedShare,IS,0.88,0.84,3.72,0.88,1.84,0.95,4.18,0.98,1.09,0.97,4.54,1.09,1.18,1.08,5.02,,,1.14,1.34,1.1,1.21,1.15,1.53,1.03,1.08,1.03,1.43,,,,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ProfitLoss,IS,3549000000.0,3353000000.0,14848000000.0,3467000000.0,3747000000.0,3590000000.0,6212000000.0,3550000000.0,3937000000.0,3493000000.0,5407000000.0,3894000000.0,4161000000.0,3825000000.0,5876000000.0,3945000000.0,4215000000.0,3885000000.0,4650000000.0,3726000000.0,4359000000.0,3826000000.0,5188000000.0,3283000000.0,3635000000.0,3414000000.0,4748000000.0,3216000000.0,3889000000.0,3202000000.0,3986000000.0,3152000000.0,3104000000.0,1904000000.0,2363000000.0,2276000000.0,-727000000.0,1817000000.0,3813000000.0,3906000000.0,3680000000.0,3321000000.0,4294000000.0,4074000000.0,6439000000.0,5201000000.0,13706000000.0,2811000000.0,4364000000.0,3132000000.0,13940000000.0,2103000000.0,5147000000.0,-1767000000.0,11292000000.0,1896000000.0,8053000000.0,643000000.0,16270000000.0,5307000000.0,4711000000.0
8,Revenues,IS,100910000000.0,99411000000.0,408214000000.0,99848000000.0,103726000000.0,101952000000.0,421849000000.0,104189000000.0,109366000000.0,110226000000.0,446950000000.0,113018000000.0,114296000000.0,113929000000.0,127919000000.0,114187000000.0,116945000000.0,115688000000.0,129706000000.0,114960000000.0,120125000000.0,119001000000.0,131565000000.0,114826000000.0,120229000000.0,117408000000.0,129667000000.0,115904000000.0,120854000000.0,118179000000.0,130936000000.0,117542000000.0,123355000000.0,123179000000.0,136267000000.0,122690000000.0,128028000000.0,124894000000.0,138793000000.0,123925000000.0,130377000000.0,127991000000.0,141671000000.0,134622000000.0,137742000000.0,134708000000.0,559151000000.0,138310000000.0,141048000000.0,140525000000.0,572754000000.0,141569000000.0,152859000000.0,152813000000.0,611289000000.0,152301000000.0,161632000000.0,160804000000.0,648125000000.0,161508000000.0,169335000000.0
9,CommonStockDividendsPerShareDeclared,IS,0.0,0.0,1.09,1.21,1.21,1.21,1.21,1.46,1.46,1.46,1.46,1.59,0.0,0.0,1.59,1.88,0.0,0.0,1.88,1.92,1.92,0.0,1.92,1.96,0.0,0.0,1.96,2.0,0.0,0.0,2.0,2.04,0.0,0.0,2.04,2.08,0.0,0.0,2.08,2.12,0.0,0.0,2.12,2.16,0.0,0.0,2.16,2.2,0.0,0.0,2.2,2.24,0.0,0.0,2.24,2.28,0.0,0.0,0.76,0.83,0.0
